Feature,LightGBM_Gain,XGBoost_Gain,CatBoost_Gain,Abs_Correlation,LGBM_Norm,XGB_Norm,CB_Norm,Corr_Norm,Tree_Score,NN_Score,Combined_Score
COUNT_Contract,189.1808687210083,0.0,0.1462223432947991,0.4261685843594246,0.00014502477987588346,0.0,0.019546433559376023,0.7321342401573601,0.006563819446417302,0.7321342401573601,0.22423494565970012
FREQ_Contract,220.2439568042755,0.00030280310602393,0.01777567827340599,0.4261685843594246,0.0001688375339984188,0.0008009608759029699,0.0023761834649543077,0.7321342401573601,0.0011153272916185654,0.7321342401573601,0.220421001151341
ORIG_tenure_std_diff,280.35574159622195,0.0,0.14298484553567908,0.41845348683316774,0.00021491882338215033,0.0,0.019113657463593683,0.7188801260052898,0.006442858762325278,0.7188801260052898,0.22017403893521464
GRP_InternetService_tenure_mean,476.2309936523437,0.0,0.017859313926437442,0.4259296451309035,0.00036507547243774124,0.0,0.0023873635534301055,0.7317237556755439,0.0009174796752892822,0.7317237556755439,0.2201593624753657
COUNT_OnlineSecurity,63.05844612121582,0.0,0.002458155142417225,0.4265510751790712,4.834018011372541e-05,0.0,0.00032859660902182923,0.7327913383947396,0.00012564559637851823,0.7327913383947396,0.21992535343588684
COUNT_InternetService,223.7280029296875,0.0,0.007704273776091418,0.42451438868416885,0.00017150838029398392,0.0,0.0010298773230846602,0.7292924227681329,0.0004004619011262147,0.7292924227681329,0.2190680501612282
GRP_InternetService_tenure_median,1071.2713802337646,0.0,0.014471393013032541,0.4222117919857616,0.0008212294253434884,0.0,0.0019344794760303911,0.7253366880048321,0.0009185696337912931,0.7253366880048321,0.2182440051451035
ORIG_prob_InternetService,143.65740051269532,0.0,0.0,0.4233380183156657,0.00011012679573651673,0.0,0.0,0.7272714830332572,3.670893191217224e-05,0.7272714830332572,0.21820714116231568
GRP_InternetService_Artifact_Diff_mean,947.2880737304688,0.0,0.05327793065309362,0.41869138255403493,0.000726184657574495,0.0,0.0071219863409806156,0.7192888177982233,0.00261605699951837,0.7192888177982233,0.21761788523912984
ORIG_tenure_mean_diff,261.12074465751647,0.0,0.05043612363305611,0.41845348683316785,0.00020017340427181258,0.0,0.0067421046426430166,0.71888012600529,0.0023140926823049432,0.71888012600529,0.21728390267920047
tenure_quarter,170.05228900909424,4.031485259474721e-05,0.022805045201630885,0.4181294250426494,0.0001303609394949107,0.0001066389974336524,0.003048489654919242,0.7183234056334168,0.0010951631972826016,0.7183234056334168,0.21626363592812284
GRP_Contract_Artifact_Diff_mean,152.4443729400635,0.0,0.02641279963395936,0.4173753406493025,0.00011686282962128456,0.0,0.003530760221243569,0.7170279300291617,0.0012158743502882845,0.7170279300291617,0.2159594910539503
ORIG_prob_TechSupport,49.255027770996094,0.0004884166060946882,0.003662290848283103,0.41631687149597923,3.7758572569003074e-05,0.0012919371857177753,0.0004895607820807142,0.7152095381116459,0.0006064188467891641,0.7152095381116459,0.21498735462624619
WoE_OnlineSecurity,459.3158716201782,0.0009384638746269047,0.12444547813691301,0.4081698043893249,0.0003521084538069821,0.002482381561056567,0.0166353870096573,0.7012133239265786,0.006489959008173617,0.7012133239265786,0.21490696848369512
FREQ_TechSupport,26.885433959960938,8.99879145435989e-05,0.001587592414564244,0.415982722505685,2.0610192607060124e-05,0.0002380319006629558,0.0002122231729530291,0.7146354884841349,0.00015695508874101502,0.7146354884841349,0.21450051510735918
